id,area,source,tihanovkaja,against,cherechen,corrupted,dmitriyev,kanopatskaja,latitude,longitude
01-010-0001,city,official,701,96,16,5,21,16,52.089515,23.680013
01-010-0002,city,official,948,194,32,13,43,25,52.09133,23.652785
01-010-0003,city,voice,465.305,100.841,31.8333,16.2371,35.0379,29.4831,52.098534,23.652192
01-010-0004,city,official,395,97,24,15,32,26,52.098645,23.654222
01-010-0005,city,official-corrupted-fix,412,78.351,50,12.649,42,21,52.099618,23.649713
01-010-0006,city,official-corrupted-fix,1157,149.814,48,24.186,53,28,52.105589,23.646314
01-010-0007,city,official-corrupted-fix,1010,125.706,44,20.294,43,19,52.104868,23.650827
01-010-0008,city,official-corrupted-fix,782,67.158,41,10.842,34,34,52.114542,23.646281
01-010-0009,city,voice,205.376,27.4921,8.67865,4.4267,9.55234,8.03795,52.09745,23.663367
01-010-0010,city,official-corrupted-fix,443,40.467,10,6.533,22,10,52.138598,23.674695
01-010-0011,city,official-corrupted-fix,682,69.741,15,11.259,26,19,52.127979,23.652623
01-010-0012,city,official-corrupted-fix,533,19.803,26,3.197,21,38,52.119652,23.656486
01-010-0013,city,voice,487.768,55.0225,17.3694,8.85955,19.118,16.0871,52.127487,23.656334
01-010-0014,city,voice,699.562,90.05,28.4268,14.4996,31.2886,26.3282,52.100835,23.670464
01-010-0015,city,official,410,52,21,5,21,9,52.086145,23.699866
01-010-0016,city,voice,378.662,51.3489,16.2097,8.26804,17.8416,15.013,52.085315,23.698734
01-010-0017,city,official-corrupted-fix,500,55.104,7,8.896,6,5,52.087186,23.687101
01-010-0018,city,voice,365.826,31.5825,9.96989,5.08531,10.9736,9.23386,52.086809,23.690398
01-010-0019,city,voice,218.212,34.346,10.8423,5.53029,11.9338,10.0418,52.088193,23.68826
01-010-0020,city,official,336,46,7,9,16,11,52.090434,23.698276
01-010-0021,city,official,450,34,14,1,9,11,52.090434,23.698276
01-010-0022,city,official,518,49,21,4,17,25,52.093123,23.697054
01-010-0023,city,official-corrupted-fix,458,68.019,16,10.981,42,23,52.09626,23.694422
01-010-0024,city,voice,413.961,60.5128,19.1025,9.74358,21.0256,17.6923,52.095026,23.685259
01-010-0025,city,official,1107,130,36,17,36,24,52.113027,23.728962
01-010-0026,city,voice,359.408,62.7845,19.8197,10.1094,21.815,18.3565,52.098174,23.694054
01-010-0027,city,official,465,90,10,6,19,9,52.099513,23.685708
01-010-0028,city,official-corrupted-fix,764,365.064,29,58.936,33,35,52.102971,23.684936
01-010-0029,city,voice,869.639,108.378,34.2126,17.4507,37.6569,31.6869,52.109968,23.67898
01-010-0030,city,official-corrupted-fix,417,84.378,13,13.622,18,15,52.117069,23.688412
01-010-0031,city,official-corrupted-fix,610,99.876,65,16.124,47,56,52.123014,23.695365
01-010-0032,city,official,711,107,37,15,47,33,52.111655,23.686032
01-010-0033,city,voice,330.527,76.4163,24.123,12.3043,26.5514,22.3421,52.108137,23.706019
01-010-0034,city,official-corrupted-fix,1223,141.204,62,22.796,46,18,52.113486,23.730759
01-010-0035,city,official,1111,115,38,16,26,24,52.113486,23.730759
01-010-0036,city,official-corrupted-fix,682,6.888,8,1.112,13,15,52.104818,23.646551
01-010-0037,city,voice,3.209,0,0,0,0,0,52.103707,23.644
01-010-0038,city,voice,9.627,2.49924,0.788955,0.40242,0.86838,0.73071,52.092476,23.685475
01-010-0039,city,voice,16.045,6.51313,2.05605,1.04872,2.26304,1.90426,52.106727,23.690595
01-010-0040,city,official-corrupted-fix,557,41.328,28,6.672,23,24,52.127979,23.652623
01-010-0041,city,voice,1030.09,150.032,47.3619,24.1577,52.1299,43.8654,52.126503,23.698339
01-010-0042,city,official-corrupted-fix,598,7.749,6,1.251,13,24,52.122256,23.771947
01-010-0043,city,voice,465.305,63.2773,19.9752,10.1887,21.9862,18.5006,52.119652,23.656486
01-010-0044,city,official,473,56,27,5,21,11,52.090185,23.678378
01-011-0001,city,voice,641.8,129.052,40.739,20.7796,44.8402,37.7314,52.087927,23.715568
01-011-0002,city,voice,539.112,37.8313,11.9425,6.09148,13.1448,11.0608,52.086461,23.703899
01-011-0003,city,voice,622.546,63.0129,19.8918,10.1462,21.8943,18.4233,52.086461,23.703899
01-011-0004,city,voice,497.395,93.9115,29.6458,15.1213,32.6303,27.4572,52.087335,23.706549
01-011-0005,city,official,143,43,21,6,15,8,52.087335,23.706549
01-011-0006,city,voice,625.755,55.629,17.5608,8.95721,19.3287,16.2644,52.090744,23.704501
01-011-0007,city,official-corrupted-fix,1026,174.783,28,28.217,22,19,52.0906405,23.70459261
01-011-0008,city,voice,413.961,88.6855,27.9961,14.2799,30.8145,25.9292,52.092271,23.717868
01-011-0009,city,voice,28.881,0.454536,0.143487,0.073188,0.157932,0.132894,52.092127,23.703315
01-011-0010,city,official-corrupted-fix,500,147.231,26,23.769,44,19,52.09667,23.698087
01-011-0011,city,voice,542.321,69.1848,21.8401,11.1399,24.0388,20.2278,52.099961,23.698384
01-011-0012,city,voice,551.948,106.9,33.746,17.2127,37.1432,31.2547,52.099795,23.701546
01-011-0013,city,voice,381.871,72.1376,22.7723,11.6154,25.0648,21.0911,52.105056,23.710583
01-011-0014,city,voice,484.559,88.2314,27.8527,14.2068,30.6567,25.7965,52.10036,23.715101
01-011-0015,city,official,1113,158,42,11,47,27,52.098158,23.723554
01-011-0016,city,voice,667.472,84.067,26.5381,13.5362,29.2097,24.5789,52.097671,23.729618
01-011-0017,city,voice,336.945,32.3018,10.197,5.20114,11.2235,9.44417,52.101411,23.726187
01-011-0018,city,voice,314.482,89.8589,28.3665,14.4688,31.2222,26.2723,52.101555,23.727696
