,id,town,area
0,01-010-0001,Brest,city
1,01-010-0002,Brest,city
2,01-010-0003,Brest,city
3,01-010-0004,Brest,city
4,01-010-0005,Brest,city
5,01-010-0006,Brest,city
6,01-010-0007,Brest,city
7,01-010-0008,Brest,city
8,01-010-0009,Brest,city
9,01-010-0010,Brest,city
10,01-010-0011,Brest,city
11,01-010-0012,Brest,city
12,01-010-0013,Brest,city
13,01-010-0014,Brest,city
14,01-010-0015,Brest,city
15,01-010-0016,Brest,city
16,01-010-0017,Brest,city
17,01-010-0018,Brest,city
18,01-010-0019,Brest,city
19,01-010-0020,Brest,city
20,01-010-0021,Brest,city
21,01-010-0022,Brest,city
22,01-010-0023,Brest,city
23,01-010-0024,Brest,city
24,01-010-0025,Brest,city
25,01-010-0026,Brest,city
26,01-010-0027,Brest,city
27,01-010-0028,Brest,city
28,01-010-0029,Brest,city
29,01-010-0030,Brest,city
30,01-010-0031,Brest,city
31,01-010-0032,Brest,city
32,01-010-0033,Brest,city
33,01-010-0034,Brest,city
34,01-010-0035,Brest,city
35,01-010-0036,Brest,city
36,01-010-0037,Brest,city
37,01-010-0038,Brest,city
38,01-010-0039,Brest,city
39,01-010-0040,Brest,city
40,01-010-0041,Brest,city
41,01-010-0042,Brest,city
42,01-010-0043,Brest,city
43,01-010-0044,Brest,city
44,01-011-0001,Brest,city
45,01-011-0002,Brest,city
46,01-011-0003,Brest,city
47,01-011-0004,Brest,city
48,01-011-0005,Brest,city
49,01-011-0006,Brest,city
50,01-011-0007,Brest,city
51,01-011-0008,Brest,city
52,01-011-0009,Brest,city
53,01-011-0010,Brest,city
54,01-011-0011,Brest,city
55,01-011-0012,Brest,city
56,01-011-0013,Brest,city
57,01-011-0014,Brest,city
58,01-011-0015,Brest,city
59,01-011-0016,Brest,city
60,01-011-0017,Brest,city
61,01-011-0018,Brest,city
62,01-011-0019,Brest,city
63,01-011-0020,Brest,city
64,01-011-0021,Brest,city
65,01-011-0022,Brest,city
66,01-011-0023,Brest,city
67,01-011-0024,Brest,city
68,01-011-0025,Brest,city
69,01-011-0026,Brest,city
70,01-011-0027,Brest,city
71,01-011-0028,Brest,city
72,01-011-0029,Brest,city
73,01-011-0030,Brest,city
74,01-011-0031,Brest,city
75,01-011-0032,Brest,city
76,01-011-0033,Brest,city
77,01-011-0034,Brest,city
78,01-011-0035,Brest,city
79,01-011-0036,Brest,city
80,01-011-0037,Brest,city
81,01-011-0038,Brest,city
82,01-011-0039,Brest,city
83,01-011-0040,Brest,city
84,01-011-0041,Brest,city
85,01-011-0042,Brest,city
86,01-011-0043,Brest,city
87,01-011-0044,Brest,city
88,01-011-0045,Brest,city
89,01-011-0046,Brest,city
90,01-011-0047,Brest,city
91,01-011-0048,Brest,city
92,01-011-0049,Brest,city
93,01-011-0050,Brest,city
94,01-011-0051,Brest,city
95,01-011-0052,Brest,city
96,01-011-0053,Brest,city
97,01-011-0054,Brest,city
98,01-011-0055,Brest,city
99,01-011-0056,Brest,city
100,01-011-0057,Brest,city
101,01-011-0058,Brest,city
102,01-011-0059,Brest,city
103,01-011-0060,Brest,city
104,01-011-0061,Brest,city
105,01-011-0062,Brest,city
106,01-011-0063,Brest,city
107,01-011-0064,Brest,city
108,01-011-0065,Brest,city
109,01-011-0066,Brest,city
110,01-011-0067,Brest,city
111,01-011-0068,Brest,city
112,01-011-0069,Brest,city
113,01-011-0070,Brest,city
114,01-011-0071,Brest,city
115,01-011-0072,Brest,city
116,01-011-0073,Brest,city
117,01-011-0074,Brest,city
118,01-011-0075,Brest,city
119,01-011-0076,Brest,city
120,01-011-0077,Brest,city
121,01-011-0078,Brest,city
122,01-011-0079,Brest,city
123,01-011-0080,Brest,city
124,01-011-0081,Brest,city
125,01-011-0082,Brest,city
126,01-011-0083,Brest,city
127,01-011-0084,Brest,city
128,01-011-0085,Brest,city
129,01-011-0086,Brest,city
130,01-011-0087,Brest,city
131,01-011-0088,Brest,city
132,01-011-0089,Brest,city
133,01-047-0001,Baranavičy,region-center
134,01-047-0002,Baranavičy,region-center
135,01-047-0003,Baranavičy,region-center
136,01-047-0004,Baranavičy,region-center
137,01-047-0005,Baranavičy,region-center
138,01-047-0006,Baranavičy,region-center
139,01-047-0007,Baranavičy,region-center
140,01-047-0008,Baranavičy,region-center
141,01-047-0009,Baranavičy,region-center
142,01-047-0010,Baranavičy,region-center
143,01-047-0011,Baranavičy,region-center
144,01-047-0012,Baranavičy,region-center
145,01-047-0013,Baranavičy,region-center
146,01-047-0014,Baranavičy,region-center
147,01-047-0015,Baranavičy,region-center
148,01-047-0016,Baranavičy,region-center
149,01-047-0017,Baranavičy,region-center
150,01-047-0018,Baranavičy,region-center
151,01-047-0019,Baranavičy,region-center
152,01-047-0020,Baranavičy,region-center
153,01-047-0021,Baranavičy,region-center
154,01-047-0022,Baranavičy,region-center
155,01-047-0023,Baranavičy,region-center
156,01-047-0024,Baranavičy,region-center
157,01-047-0025,Baranavičy,region-center
158,01-047-0026,Baranavičy,region-center
159,01-047-0027,Baranavičy,region-center
160,01-047-0028,Baranavičy,region-center
161,01-047-0029,Baranavičy,region-center
162,01-047-0030,Baranavičy,region-center
163,01-047-0031,Baranavičy,region-center
164,01-047-0032,Baranavičy,region-center
165,01-047-0033,Baranavičy,region-center
166,01-047-0034,Baranavičy,region-center
167,01-047-0035,Baranavičy,region-center
168,01-047-0036,Baranavičy,region-center
169,01-047-0037,Baranavičy,region-center
170,01-047-0038,Baranavičy,region-center
171,01-047-0039,Baranavičy,region-center
172,01-047-0040,Baranavičy,region-center
173,01-047-0041,Baranavičy,region-center
174,01-047-0042,Baranavičy,region-center
175,01-047-0043,Baranavičy,region-center
176,01-047-0044,Baranavičy,region-center
177,01-047-0045,Baranavičy,region-center
178,01-047-0046,Baranavičy,region-center
179,01-047-0047,Baranavičy,region-center
180,01-047-0048,Baranavičy,region-center
181,01-047-0049,Baranavičy,region-center
182,01-047-0050,Baranavičy,region-center
183,01-047-0051,Baranavičy,region-center
184,01-047-0052,Baranavičy,region-center
185,01-047-0053,Baranavičy,region-center
186,01-047-0054,Baranavičy,region-center
187,01-047-0055,Baranavičy,region-center
188,01-047-0056,Baranavičy,region-center
189,01-047-0057,Baranavičy,region-center
190,01-047-0058,Baranavičy,region-center
191,01-047-0059,Baranavičy,region-center
192,01-047-0060,Baranavičy,region-center
193,01-047-0061,Baranavičy,region-center
194,01-047-0062,Baranavičy,region-center
195,01-047-0063,Baranavičy,region-center
196,01-047-0064,Baranavičy,region-center
197,01-047-0065,Baranavičy,region-center
198,01-047-0066,Baranavičy,region-center
199,01-047-0067,Baranavičy,region-center
200,01-047-0068,Baranavičy,region-center
201,01-047-0069,Baranavičy,region-center
202,01-048-0001,Haradzišča,village
203,01-048-0002,Арабовщина,village
204,01-048-0003,Гирмантовцы,village
205,01-048-0004,Карчёво,village
206,01-048-0005,Великие Луки,village
207,01-048-0006,Копани,village
208,01-048-0007,Вольно,village
209,01-048-0008,Нижнее Чернихово,village
210,01-048-0009,Полонечка,village
211,01-048-0010,Жемчужный,village
212,01-048-0011,Свираны,village
213,01-048-0012,Севрюки,village
214,01-048-0013,Крошинский сельский Совет,village
215,01-048-0014,Лавриновичи,village
216,01-048-0015,Петковичи,village
217,01-048-0016,Столовичи,village
218,01-048-0017,Стайки,village
219,01-048-0018,Lyasnaya,village
220,01-048-0019,Замошье,village
221,01-048-0020,Светлый,village
222,01-048-0021,Подлазье,village
223,01-048-0022,Миловиды,village
224,01-048-0023,Molchad,village
225,01-048-0024,Малая Своротва,village
226,01-048-0025,Новая Мышь,village
227,01-048-0026,Приозёрная,village
228,01-048-0027,Мир,village
229,01-048-0028,Тешевле,village
230,01-048-0029,Заболотье,village
231,01-048-0030,Подгорная,village
232,01-048-0031,Полонка,village
233,01-048-0032,Перховичи,village
234,01-048-0033,Лотвичи,village
235,01-048-0034,Почапово,village
236,01-049-0001,Biaroza,region-center
237,01-049-0002,Biaroza,region-center
238,01-049-0003,Biaroza,region-center
239,01-049-0004,Biaroza,region-center
240,01-049-0005,Biaroza,region-center
241,01-049-0006,Biaroza,region-center
242,01-049-0007,Biaroza,region-center
243,01-049-0008,Biaroza,region-center
244,01-049-0009,Biaroza,region-center
245,01-049-0010,Biaroza,region-center
246,01-049-0011,Biaroza,region-center
247,01-049-0012,Biaroza,region-center
248,01-049-0013,Belaazersk,region-center
249,01-049-0014,Belaazersk,region-center
250,01-049-0015,Belaazersk,region-center
251,01-049-0016,Belaazersk,region-center
