id,town,area,latitude,longitude,region
01-010-0001,Brest,city,52.089515,23.680013,1
01-010-0002,Brest,city,52.09133,23.652785,1
01-010-0003,Brest,city,52.098534,23.652192,1
01-010-0004,Brest,city,52.098645,23.654222,1
01-010-0005,Brest,city,52.099618,23.649713,1
01-010-0006,Brest,city,52.105589,23.646314,1
01-010-0007,Brest,city,52.104868,23.650827,1
01-010-0008,Brest,city,52.114542,23.646281,1
01-010-0009,Brest,city,52.09745,23.663367,1
01-010-0010,Brest,city,52.138598,23.674695,1
01-010-0011,Brest,city,52.127979,23.652623,1
01-010-0012,Brest,city,52.119652,23.656486,1
01-010-0013,Brest,city,52.127487,23.656334,1
01-010-0014,Brest,city,52.100835,23.670464,1
01-010-0015,Brest,city,52.086145,23.699866,1
01-010-0016,Brest,city,52.085315,23.698734,1
01-010-0017,Brest,city,52.087186,23.687101,1
01-010-0018,Brest,city,52.086809,23.690398,1
01-010-0019,Brest,city,52.088193,23.68826,1
01-010-0020,Brest,city,52.090434,23.698276,1
01-010-0021,Brest,city,52.090434,23.698276,1
01-010-0022,Brest,city,52.093123,23.697054,1
01-010-0023,Brest,city,52.09626,23.694422,1
01-010-0024,Brest,city,52.095026,23.685259,1
01-010-0025,Brest,city,52.113027,23.728962,1
01-010-0026,Brest,city,52.098174,23.694054,1
01-010-0027,Brest,city,52.099513,23.685708,1
01-010-0028,Brest,city,52.102971,23.684936,1
01-010-0029,Brest,city,52.109968,23.67898,1
01-010-0030,Brest,city,52.117069,23.688412,1
01-010-0031,Brest,city,52.123014,23.695365,1
01-010-0032,Brest,city,52.111655,23.686032,1
01-010-0033,Brest,city,52.108137,23.706019,1
01-010-0034,Brest,city,52.113486,23.730759,1
01-010-0035,Brest,city,52.113486,23.730759,1
01-010-0036,Brest,city,52.104818,23.646551,1
01-010-0037,Brest,city,52.103707,23.644,1
01-010-0038,Brest,city,52.092476,23.685475,1
01-010-0039,Brest,city,52.106727,23.690595,1
01-010-0040,Brest,city,52.127979,23.652623,1
01-010-0041,Brest,city,52.126503,23.698339,1
01-010-0042,Brest,city,52.122256,23.771947,1
01-010-0043,Brest,city,52.119652,23.656486,1
01-010-0044,Brest,city,52.090185,23.678378,1
01-011-0001,Brest,city,52.087927,23.715568,1
01-011-0002,Brest,city,52.086461,23.703899,1
01-011-0003,Brest,city,52.086461,23.703899,1
01-011-0004,Brest,city,52.087335,23.706549,1
01-011-0005,Brest,city,52.087335,23.706549,1
01-011-0006,Brest,city,52.090744,23.704501,1
01-011-0007,Brest,city,52.0906405,23.70459261,1
01-011-0008,Brest,city,52.092271,23.717868,1
01-011-0009,Brest,city,52.092127,23.703315,1
01-011-0010,Brest,city,52.09667,23.698087,1
01-011-0011,Brest,city,52.099961,23.698384,1
01-011-0012,Brest,city,52.099795,23.701546,1
01-011-0013,Brest,city,52.105056,23.710583,1
01-011-0014,Brest,city,52.10036,23.715101,1
01-011-0015,Brest,city,52.098158,23.723554,1
01-011-0016,Brest,city,52.097671,23.729618,1
01-011-0017,Brest,city,52.101411,23.726187,1
01-011-0018,Brest,city,52.101555,23.727696,1
01-011-0019,Brest,city,52.10588,23.731127,1
01-011-0020,Brest,city,52.104498,23.733095,1
01-011-0021,Brest,city,52.106234,23.734289,1
01-011-0022,Brest,city,52.105775,23.738413,1
01-011-0023,Brest,city,52.104547,23.752471,1
01-011-0024,Brest,city,52.10957,23.753073,1
