id,reason
01-055-0003,zubr-report
02-065-0001,zubr-report
02-082-0020,zubr-report
04-022-0107,zubr-report
03-096-0008,zubr-report
03-091-0026,zubr-report
05-040-0019,zubr-report
05-141-0096,zubr-report
05-141-0098,zubr-report
05-046-0022,zubr-report
06-013-0021,zubr-report
06-013-0048,zubr-report
06-129-0001,zubr-report
07-001-0005,zubr-report
07-005-0007,zubr-report
07-005-0034,zubr-report
07-004-0005,zubr-report
01-011-0032,no-observer
01-060-0059,no-observer
01-062-0009,no-observer
01-053-0021,no-observer
02-072-0020,no-observer
03-101-0011,no-observer
03-085-0009,no-observer
03-101-0036,no-observer
04-022-0081,no-observer
04-022-0085,no-observer
04-022-0121,no-observer
04-022-0135,no-observer
04-112-0002,no-observer
04-115-0003,no-observer
04-117-0011,no-observer
05-027-0007,no-observer
05-037-0016,no-observer
05-042-0041,no-observer
05-042-0050,no-observer
05-045-0012,no-observer
06-135-0002,no-observer
01-011-0037,one-observer
04-110-0013,one-observer
04-145-0024,one-observer
04-114-0017,one-observer
07-003-0094,major-violation
04-119-0029,major-violation
01-010-0025,minor-violation
01-010-0032,minor-violation
01-010-0034,minor-violation
01-011-0038,minor-violation
01-011-0015,minor-violation
01-049-0013,minor-violation
01-056-0005,minor-violation
02-143-0019,minor-violation
02-016-0059,minor-violation
03-096-0023,minor-violation
04-105-0011,minor-violation
05-038-0004,minor-violation
05-044-0005,minor-violation
05-040-0028,minor-violation
05-027-0018,minor-violation
05-034-0014,minor-violation
05-036-0039,minor-violation
05-039-0005,minor-violation
05-040-0063,minor-violation
05-042-0062,minor-violation
05-045-0018,minor-violation
06-146-0035,minor-violation
06-013-0020,minor-violation
07-001-0089,minor-violation
07-003-0024,minor-violation
07-005-0037,minor-violation
07-006-0008,minor-violation
07-009-0014,minor-violation
07-003-0058,outlier
07-002-0072,outlier
07-005-0002,outlier
07-005-0026,outlier
07-001-0016,outlier
07-002-0017,outlier
07-004-0002,outlier
07-004-0004,outlier
07-004-0006,outlier
07-004-0007,outlier
07-004-0026,outlier
01-010-0010,outlier
01-011-0049,outlier
01-056-0017,outlier
01-049-0030,outlier
02-143-0016,outlier
02-015-0001,outlier
02-143-0022,outlier
02-075-0019,outlier
03-101-0015,outlier
03-091-0012,outlier
03-091-0015,outlier
03-091-0028,outlier
03-091-0017,outlier
03-102-0003,outlier
04-112-0029,outlier
04-021-0032,outlier
04-021-0044,outlier
04-117-0014,outlier
04-112-0044,outlier
04-115-0005,outlier
04-112-0025,outlier
04-112-0007,outlier
04-112-0026,outlier
04-022-0128,outlier
05-039-0012,outlier
05-027-0023,outlier
05-042-0056,outlier
05-141-0075,outlier
05-141-0100,outlier
05-141-0101,outlier
06-024-0010,outlier
06-135-0025,outlier
