id,reason,explanation
04-022-0069,trusted,Trusted. Hrodna hospital. Too many votes. It's likely that people didn't expect to vote from there.
05-141-0021,trusted,Trusted. Minsk region children hospital. People didn't expect to vote from there.
05-141-0022,trusted,Trusted. Minsk region hospital. People didn't expect to vote from there.
05-141-0023,trusted,Trusted. Cancer clinic. People didn't expect to vote from there.
05-141-0037,trusted,Trusted. Clinic. People didn't expect to vote from there.
05-141-0026,trusted,Trusted. Novaja Baravaja is a separate world.
05-141-0027,trusted,Trusted. Novaja Baravaja is a separate world.
01-010-0001,trusted-many-for-lukashenko,Trusted. Many for Lukashenko. No zubr report.
02-077-0008,trusted-many-for-lukashenko,Trusted. Many for Lukashenko. No zubr report.
06-125-0012,trusted-many-for-lukashenko,Trusted. Many for Lukashenko. No zubr report.
01-010-0030,trusted-high-turnout-many-for-lukashenko,"Trusted. High turnout, many for Lukashenko. No zubr report."
04-022-0070,trusted-high-turnout-many-for-lukashenko,"Trusted. High turnout, many for Lukashenko. No zubr report."
05-041-0011,trusted-high-turnout-many-for-lukashenko,"Trusted. High turnout, many for Lukashenko. No zubr report. Two observers."
04-106-0002,tihanovkaja-report,Less than expected. Many reports on Zubr platform.
01-047-0054,tihanovkaja-report,Less than expected. Zubr report.
07-002-0103,tihanovkaja-report,SPB embassy. Less than expected. Zubr report.
01-056-0048,tihanovkaja-report,Too few Tihanovkaja. Conflict reported.
02-074-0015,tihanovkaja-report,Too few Tihanovkaja. Zubr report. High tunout.
02-075-0056,tihanovkaja-report,Too few Tihanovkaja. Zubr report.
03-091-0029,tihanovkaja-report,Too few Tihanovkaja. Zubr report.
03-096-0004,tihanovkaja-report,Too few Tihanovkaja. Zubr report.
03-018-0028,tihanovkaja-report,Too many for Kanopatskaja. Zubr report.
03-096-0041,tihanovkaja-report,Too many for Kanopatskaja. Zubr report.
04-022-0100,tihanovkaja-report,Too many for Against. Zubr report.
05-026-0064,tihanovkaja-report,Too many for Dmitriev. Zubr report.
05-026-0041,tihanovkaja-report,Too many for Kanopatskaja. Zubr report.
05-141-0065,tihanovkaja-report,Too many for Kanopatskaja. Zubr report.
05-141-0066,tihanovkaja-report,Too many for Kanopatskaja. Zubr report.
05-041-0028,tihanovkaja-report,Too few Tihanovkaja. Zubr report.
05-141-0029,tihanovkaja-report,Too few Tihanovkaja. Zubr report.
05-141-0007,tihanovkaja-report,Too few Tihanovkaja. Zubr report.
05-141-0084,tihanovkaja-report,Too few Tihanovkaja. Zubr report.
06-013-0017,tihanovkaja-report,Too few Tihanovkaja. Conflict reported.
06-135-0009,tihanovkaja-report,Too few Tihanovkaja. Zubr report.
06-132-0001,tihanovkaja-report,Too many for Kanopatskaja. Zubr report.
07-001-0029,tihanovkaja-report,Too many for Kanopatskaja. Zubr report.
07-001-0078,tihanovkaja-report,Too few Tihanovkaja. Conflict reported.
07-006-0016,tihanovkaja-report,Too few Tihanovkaja. Zubr report.
07-006-0071,tihanovkaja-report,Too few Tihanovkaja. Zubr report.
02-016-0039,tihanovkaja-no-observers,Too many for Kanopatskaja. No observer.
02-075-0038,tihanovkaja-no-observers,Too many for Dmitriev. No observer.
03-100-0045,tihanovkaja-no-observers,Too few Tihanovkaja. No observers.
04-021-0040,tihanovkaja-no-observers,Too few Tihanovkaja. No observers.
04-022-0116,tihanovkaja-no-observers,Too many for Dmitriev. No observer.
05-026-0082,tihanovkaja-no-observers,Too many for Against. No observer.
05-036-0051,tihanovkaja-no-observers,Too many for Against. No observer.
05-141-0016,tihanovkaja-no-observers,Too few Tihanovkaja. No observers.
06-024-0050,tihanovkaja-no-observers,Too few Tihanovkaja. No observers.
03-018-0048,report,Outliers. Zubr report.
04-022-0066,report,Outliers. Zubr report.
04-022-0090,report,Outliers. Zubr report.
05-026-0023,report,Outliers. Zubr report.
05-026-0028,report,Outliers. Zubr report.
05-026-0091,report,Outliers. Zubr report.
05-141-0024,report,Outliers. Zubr report.
05-141-0059,report,Outliers. Zubr report.
06-012-0076,report,Outliers. Zubr report.
06-132-0001,report,Outliers. Zubr report.
07-001-0029,report,Outliers. Zubr report.
05-141-0020,mess-in-report,Duplicate from 05-141-0024.
01-011-0058,mess-in-report,Mess in the report.
04-112-0013,mess-in-report,Mess in the report.
05-141-0013,mess-in-report,Mess in the report.
07-006-0049,mess-in-report,Mess in the report.
01-010-0005,mess-in-report,Too many for Lukashenko. Mess in Zubr data.
01-010-0002,luhashenko-report,Too many for Lukashenko. Zubr report.
01-010-0006,luhashenko-report,Too many for Lukashenko. Zubr report.
01-010-0015,luhashenko-report,Too many for Lukashenko. Zubr report.
01-010-0020,luhashenko-report,Too many for Lukashenko. Zubr report.
01-010-0021,luhashenko-report,Too many for Lukashenko. Zubr report.
01-010-0031,luhashenko-report,Too many for Lukashenko. Zubr report.
01-010-0035,luhashenko-report,Too many for Lukashenko. Zubr report.
01-010-0036,luhashenko-report,Too many for Lukashenko. Zubr report.
01-010-0042,luhashenko-report,Too many for Lukashenko. Zubr report.
01-011-0005,luhashenko-report,Too many for Lukashenko. Zubr report.
01-011-0010,luhashenko-report,Too many for Lukashenko. Zubr report.
01-011-0041,luhashenko-report,Too many for Lukashenko. Zubr report.
01-011-0042,luhashenko-report,Too many for Lukashenko. Zubr report.
01-011-0047,luhashenko-report,Too many for Lukashenko. Zubr report.
01-011-0048,luhashenko-report,Too many for Lukashenko. Zubr report.
01-011-0062,luhashenko-report,Too many for Lukashenko. Zubr report.
01-011-0075,luhashenko-report,Too many for Lukashenko. Conflict reported.
01-011-0078,luhashenko-report,Too many for Lukashenko. Conflict reported.
01-011-0080,luhashenko-report,Too many for Lukashenko. Zubr report.
01-011-0081,luhashenko-report,Too many for Lukashenko and Dmitriev. Zubr report.
01-047-0030,luhashenko-report,Too many for Lukashenko. Zubr report.
01-049-0014,luhashenko-report,Too many for Lukashenko. No signature.
01-054-0010,luhashenko-report,Too many for Lukashenko. Zubr report.
01-055-0004,luhashenko-report,Too many for Lukashenko. Zubr report.
01-056-0007,luhashenko-report,Too many for Lukashenko. Zubr report.
01-056-0020,luhashenko-report,Too many for Lukashenko. Zubr report.
01-057-0002,luhashenko-report,Too many for Lukashenko. Zubr report.
01-058-0008,luhashenko-report,Too many for Lukashenko. Zubr report.
01-063-0015,luhashenko-report,Too many for Lukashenko. Zubr report.
01-063-0021,luhashenko-report,Too many for Lukashenko. Zubr report.
02-014-0016,luhashenko-report,Too many for Lukashenko. No observers.
02-015-0040,luhashenko-report,Too many for Lukashenko. Zubr report.
