area,region,coefficient,correlation,source
town_below100,1,3.965,0.900,area-region
town_below100,2,3.257,0.729,area
town_below100,3,3.134,0.891,area-region
town_below100,4,4.079,0.935,area-region
town_below100,5,3.257,0.729,area
town_below100,6,3.257,0.729,area
town_over100,1,3.252,0.718,town/city-region
town_over100,2,2.647,0.909,area-region
town_over100,3,3.217,0.881,town/city-region
town_over100,4,3.292,0.837,area-region
town_over100,5,3.123,0.716,town/city
town_over100,6,3.123,0.716,town/city
city,1,3.252,0.718,town/city-region
city,2,3.123,0.716,town/city
city,3,3.217,0.881,town/city-region
city,4,3.123,0.716,town/city
city,5,3.123,0.716,town/city
city,6,3.123,0.716,town/city
village,1,5.936,0.884,area-region
village,2,3.250,0.807,area
village,3,5.381,0.954,area-region
village,4,5.661,0.959,area-region
village,5,2.957,0.807,area-region
village,6,3.250,0.807,area
minsk_suburb,5,2.070,0.874,area
capital,7,2.074,0.912,area
embassy,8,1.602,0.971,area
