area,region,coefficient,correlation,source
town_below100,1,4.168,0.955,area-region
town_below100,2,5.154,0.972,area-region
town_below100,3,3.140,0.900,area-region
town_below100,4,4.023,0.939,area-region
town_below100,5,3.415,0.845,area-region
town_below100,6,,,area-region
town_over100,1,,,area-region
town_over100,2,2.659,0.875,area-region
town_over100,3,3.896,0.659,area-region
town_over100,4,3.292,0.837,area-region
town_over100,5,3.731,0.873,area-region
town_over100,6,4.383,0.913,area-region
city,1,3.507,0.949,area-region
city,2,3.662,0.786,area-region
city,3,,,area-region
city,4,3.318,0.909,area-region
city,5,,,area-region
city,6,,,area-region
village,1,6.461,0.938,area-region
village,2,5.396,0.979,area-region
village,3,5.660,0.943,area-region
village,4,5.742,0.956,area-region
village,5,2.952,0.817,area-region
village,6,,,area-region
