area,region,coefficient,correlation,source
town_below100,1,3.399,0.955,area-region
town_below100,2,3.946,0.983,area-region
town_below100,3,2.584,0.885,area-region
town_below100,4,3.275,0.935,area-region
town_below100,5,2.725,0.818,area-region
town_below100,6,,,area-region
town_over100,1,,,area-region
town_over100,2,1.952,0.787,area-region
town_over100,3,3.154,0.698,area-region
town_over100,4,2.633,0.806,area-region
town_over100,5,2.837,0.821,area-region
town_over100,6,3.274,0.901,area-region
city,1,2.867,0.988,area-region
city,2,2.851,0.723,area-region
city,3,,,area-region
city,4,2.814,0.897,area-region
city,5,,,area-region
city,6,,,area-region
village,1,5.053,0.946,area-region
village,2,4.103,0.965,area-region
village,3,4.451,0.958,area-region
village,4,4.732,0.975,area-region
village,5,2.456,0.832,area-region
village,6,,,area-region
