area,region,turnout,coeff_variation,source
town_below100,1,0.8241,0.1042,area
town_below100,2,0.8241,0.1042,area
town_below100,3,0.8502,0.0948,area-region
town_below100,4,0.8456,0.0872,area-region
town_below100,5,0.8241,0.1042,area
town_below100,6,0.8241,0.1042,area
town_over100,1,0.7762,0.1051,area
town_over100,2,0.7762,0.1051,area
town_over100,3,0.7762,0.1051,area
town_over100,4,0.7762,0.1051,area
town_over100,5,0.7762,0.1051,area
town_over100,6,0.7762,0.1051,area
city,1,0.8009,0.0448,area-region
city,2,0.7918,0.1064,area
city,3,0.7918,0.1064,area
city,4,0.8455,0.0726,area-region
city,5,0.7918,0.1064,area
city,6,0.7918,0.1064,area
village,1,0.8643,0.0684,area-region
village,2,0.7963,0.0974,area
village,3,0.7963,0.0974,area
village,4,0.7963,0.0974,area
village,5,0.7524,0.0967,area-region
village,6,0.7963,0.0974,area
minsk_suburb,5,0.7002,0.0593,area
capital,7,0.6955,0.1105,area
embassy,8,0.8234,0.1668,area
