id,zubr_id,observers,accreditation-reject,let-observer-in-violation,no-let-observer-in,observer-pushed-away,force-beforehand-voting,late-report,home-voting-violation,wrong-voters-number,no-medcine-on-poll-station,non-transparent-counting,observer-limitations,other
07-001-0001,155,7,False,False,True,False,False,False,False,True,True,False,True,True
07-001-0002,156,6,False,False,True,False,False,False,False,False,False,False,True,False
07-001-0003,157,2,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0004,158,2,False,False,False,False,False,True,False,False,False,False,False,True
07-001-0005,159,1,False,False,False,False,False,False,False,True,False,False,False,False
07-001-0006,160,2,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0007,161,1,False,False,False,False,False,False,False,True,False,False,False,False
07-001-0008,162,5,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0009,163,1,False,False,False,False,False,False,False,False,False,False,False,True
07-001-0010,164,3,False,False,True,False,False,False,False,False,True,False,False,False
07-001-0011,165,2,False,False,False,False,False,False,False,True,False,False,False,True
07-001-0012,166,3,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0013,167,2,False,False,False,True,False,False,False,False,False,False,False,True
07-001-0014,168,3,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0015,169,7,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0016,170,2,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0017,171,1,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0018,172,5,False,False,True,False,False,False,False,False,True,False,False,True
07-001-0019,173,3,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0020,174,1,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0021,175,4,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0022,176,2,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0023,177,6,False,False,True,False,False,False,False,True,False,False,True,True
07-001-0024,178,0,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0025,179,3,False,False,True,False,False,False,False,True,False,False,True,True
07-001-0026,180,6,False,True,True,False,False,False,False,False,False,False,False,True
07-001-0027,181,3,False,False,True,False,False,False,False,False,True,False,True,True
07-001-0028,182,2,False,False,True,False,False,False,False,False,False,False,False,False
07-001-0029,183,4,False,False,True,False,False,True,False,True,True,False,True,False
07-001-0030,184,4,False,False,False,False,False,True,False,False,False,False,False,False
07-001-0031,185,7,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0032,186,3,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0033,187,4,False,False,False,False,False,False,False,True,True,False,False,True
07-001-0034,188,3,False,False,True,False,False,True,False,True,True,False,True,True
07-001-0035,189,3,False,False,True,False,False,False,False,True,False,False,True,True
07-001-0036,190,0,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0037,191,3,False,False,True,True,True,False,False,False,True,False,True,False
07-001-0038,192,4,False,True,True,False,False,True,False,True,True,True,True,True
07-001-0039,193,4,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0040,194,2,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0041,195,1,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0042,196,2,False,False,True,False,False,False,False,True,False,False,True,True
07-001-0043,197,2,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0044,198,3,False,False,True,False,False,True,False,True,False,True,True,True
07-001-0045,199,1,False,False,False,False,False,False,False,False,False,False,False,True
07-001-0046,200,1,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0047,201,2,False,False,False,False,False,True,False,False,False,False,False,True
07-001-0048,202,4,False,False,True,False,False,False,False,True,False,False,False,False
07-001-0049,203,3,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0050,204,4,False,False,False,False,False,False,True,True,False,False,False,True
07-001-0051,205,1,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0052,206,1,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0053,207,2,False,False,False,False,False,True,False,True,False,False,False,True
07-001-0054,208,3,False,False,False,False,False,True,False,False,False,False,False,False
07-001-0055,209,2,False,False,False,False,False,False,False,False,False,False,False,True
07-001-0056,210,4,False,False,False,False,False,False,False,True,False,False,True,False
07-001-0057,211,0,False,False,True,False,False,True,False,True,False,True,False,True
07-001-0058,212,2,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0059,213,1,False,False,False,False,False,False,False,False,False,False,False,True
07-001-0060,214,3,False,False,True,False,False,False,False,False,True,False,False,True
07-001-0061,215,1,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0062,216,1,False,False,True,False,False,False,False,False,False,False,True,True
07-001-0063,217,6,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0064,218,3,False,False,True,False,False,True,False,False,False,False,False,True
07-001-0065,219,4,False,False,True,False,False,False,False,True,False,False,False,True
07-001-0066,220,5,False,False,True,False,False,False,False,True,True,False,True,True
07-001-0067,221,4,False,False,False,False,False,True,False,True,False,False,True,True
07-001-0068,222,4,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0069,223,3,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0070,224,7,False,True,True,False,False,False,False,True,False,False,False,True
07-001-0071,225,3,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0072,226,5,False,False,True,False,False,True,False,True,False,True,True,True
07-001-0073,227,7,False,False,False,False,False,False,False,True,False,False,True,True
07-001-0074,228,4,False,False,True,False,False,False,False,False,True,False,False,False
07-001-0075,229,1,False,False,True,False,False,False,False,False,False,False,False,True
07-001-0076,230,3,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0077,231,3,False,False,False,False,False,False,False,False,False,False,False,True
07-001-0078,232,2,False,False,False,True,False,False,False,False,False,False,False,False
07-001-0079,233,4,False,False,False,False,False,True,False,False,False,True,True,True
07-001-0080,234,7,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0081,235,4,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0082,236,0,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0083,237,1,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0084,238,3,False,False,False,False,False,False,False,False,False,False,False,True
07-001-0085,239,3,False,False,True,False,False,False,False,False,False,False,False,True
07-001-0086,240,2,False,False,False,False,False,False,False,False,False,True,False,True
07-001-0087,241,1,False,False,True,False,False,False,False,False,False,False,True,True
07-001-0088,242,2,False,False,False,False,False,True,False,False,False,False,False,False
07-001-0089,243,3,False,False,False,False,False,False,False,False,True,False,False,False
07-001-0090,244,4,False,False,True,False,False,False,False,True,False,True,False,True
07-001-0091,245,3,False,False,False,False,False,False,False,True,False,False,True,True
07-001-0092,246,5,False,False,False,False,False,False,False,True,False,False,False,True
07-001-0093,247,0,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0094,248,4,False,False,True,False,False,False,False,True,False,True,True,False
07-001-0095,249,1,False,False,True,False,False,False,False,True,False,False,False,False
07-001-0096,250,4,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0001,251,6,False,False,True,False,False,False,False,True,False,False,False,True
07-002-0002,252,2,False,False,True,False,False,False,False,True,False,False,False,False
07-002-0003,253,6,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0004,254,2,False,False,True,False,False,False,False,True,False,False,False,False
07-002-0005,255,2,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0006,256,6,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0007,257,5,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0008,258,1,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0009,259,6,False,False,True,False,False,False,False,True,True,False,False,True
07-002-0010,260,8,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0011,261,8,False,False,True,False,False,False,False,True,False,False,False,False
07-002-0012,262,3,False,False,False,False,False,False,False,True,False,False,False,True
07-002-0013,263,2,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0014,264,5,False,False,False,False,False,False,False,True,False,False,False,False
